stationReference,value,highestRecentLevel
4195,0.15473958333333335,1.353
4196,0.6923229166666666,2.186
4197,0.2574166666666667,1.284
4198,0.6640208333333334,1.98
4200,0.1485,
4202,0.9390312500000001,2.991
4203,0.41948958333333336,1.497
4204,0.15577083333333333,2.808
4205,0.07095833333333333,0.916
4206,-0.04002083333333333,
4207,0.08917708333333334,1.189
4238,0.10695833333333334,
4249,0.07839583333333333,
4252,0.08098958333333334,
4259,0.10010416666666666,
43108,0.5904375,2.827
4310TH,0.03277083333333334,1.045
4314TH,0.9549166666666666,1.892
4317TH,0.4875,1.983
4319TH,0.06017708333333333,0.821
43208,0.15665625,3.086
4320TH,0.05757291666666667,0.885
43210,0.11993684210526316,2.782
4326TH,0.52103125,1.48
4327TH,0.28819791666666666,1.271
4335TH,0.24507291666666667,1.672
4345TH,0.50609375,1.207
4369TH,0.08985416666666667,0.743
4370TH,0.0951875,0.938
4372TH,0.4924895833333333,1.795
4378TH,0.4227916666666667,1.659
4380TH,0.5740416666666667,2.609
4381TH,0.5179166666666667,2.296
4382TH,1.0959895833333333,2.421
4383TH,0.8988020833333333,1.592
4384TH,0.01916666666666667,
4386TH,0.050833333333333335,0.754
4387TH,0.18130208333333334,
4389TH,0.05759375,0.797
4391TH,0.039822916666666666,
44107,0.3296354166666667,2.688
44113,0.05969791666666666,1.025
44115,0.28681249999999997,3.759
4427,0.192125,1.779
4435,0.14489583333333333,1.155
45213,0.6392708333333333,1.295
45215,0.1729375,1.766
4535,0.2750104166666667,
4610,0.34684374999999995,
46109,0.022197916666666664,
46115,0.20769791666666668,1.542
46116,0.32808333333333334,0.899
46120,0.45138541666666665,5.276
4615TH,0.01165625,1.308
4625TH,0.16553125,1.2
4641TH,1.15109375,
4650TH,0.8085625,1.315
46839,0.8599270833333333,
4690TH,0.24166666666666667,1.155
4703,0.43013541666666666,
4710,0.66028125,1.217
4729,0.4217916666666666,
4730TH,0.11733333333333333,0.273
4741,1.0223854166666666,
4761,0.06723958333333334,
4770TH,0.17852083333333332,0.478
4790TH,0.5626354166666666,1.035
4815,0.12269791666666667,
4815TH,0.16314583333333335,1.494
4827TH,0.0639375,0.889
4832TH,0.42655208333333333,1.554
4843,0.5344166666666667,
4863,0.218125,
4868TH,0.7044270833333334,1.772
4878,0.5748749999999999,
4883,2.0386458333333333,
4890TH,0.22610416666666666,1.526
4895,0.1631875,
4896,0.903375,
4898,0.5436354166666667,
4912TH,0.08243750000000001,1.336
4939TH,0.13602083333333334,1.229
4980TH,0.27147916666666666,1.732
50126,0.3193020833333334,2.881
50137,0.16444791666666667,1.057
50139,0.06859375000000001,1.178
5016TH,0.2840729166666666,1.692
5039TH,0.051,1.954
5080TH,0.16391666666666668,1.432
51111,0.058041666666666665,1.333
5112TH,0.3998541666666667,2.186
5129TH,0.08232291666666668,0.777
5141TH,0.2537291666666667,1.6
5151TH,1.1407916666666666,1.979
5169TH,0.13377083333333334,1.567
5171TH,0.9589791666666666,2.948
5172TH,0.9851770833333333,2.87
5189TH,0.057625,1.454
5190TH,1.4386979166666667,1.859
52118,1.6809062499999998,5.027
52119,0.36959375,3.172
52120,1.6913645833333335,4.015
52121,0.12014583333333333,0.3
52126,0.9955520833333332,3.759
52127,1.1199375,4.749
52152,1.2738229166666666,3.876
52153,-0.7879999999999999,3.674
52154,0.9470416666666667,4.038
52208,0.334,6.567
52211,0.22139583333333335,1.217
5263TH,30.55734375,
5280TH,2.842166666666667,3.116
5290TH,0.09791666666666667,
5291TH,-22.270833333333332,
5302TH,0.2860520833333333,
5303TH,69.79166666666667,
5308TH,0.8228541666666667,1.57
531115,7.540395833333334,1.134
531187,4.293833333333333,
53126,0.6342395833333333,2.306
53127,3.4459999999999997,1.638
53133,0.19543750000000001,2.152
5313TH,1.0050208333333333,2.709
53147,0.2979583333333333,2.673
53184,0.9388645833333333,3.396
5318TH,0.5696770833333333,1.947
5321TH,60.354166666666664,
5322TH,0.41110416666666666,1.074
5327TH,0.05579166666666666,1.139
5329TH,0.12461458333333332,1.076
5339TH,0.14559375,0.878
5349TH,0.09899999999999999,1.133
5355TH,0.9877916666666667,2.337
5357TH,0.08113541666666667,0.858
5362TH,0.1589375,0.984
5364TH,2.657375,3.019
5369TH,0.05080208333333333,1.189
5376TH,0.2353229166666667,1.477
5378TH,1.0071145833333333,4.759
5380TH,0.08455208333333335,1.808
5390TH,5.80065625,6.094
5420TH,0.12246875,1.901
5425TH,0.0980625,1.948
5427TH,0.11827083333333333,1.789
5442TH,0.38414583333333335,2.385
5459TH,0.8814791666666667,2.603
5470TH,0.06407291666666666,1.732
5480TH,0.20548958333333334,1.803
5484TH,2.75478125,
5496TH,-1.1932500000000001,
5518TH,0.35190625000000003,
5522TH,0.4002916666666667,0.793
5541TH,0.10470833333333333,1.005
5544TH,-0.7937291666666666,
5546TH,0.9202708333333334,2.757
5550TH,0.11783333333333333,
5563TH,-0.5201354166666667,
6303,0.22132291666666667,
720535,-0.6923750000000001,3.3
720763,1.4916666666666665,
E10018,0.25596875,
E1013,0.15521875,0.648
E10170,0.9137916666666667,1.724
E10368,0.08812765957446807,1.955
E10380,0.5573085106382979,4.594
E10389,0.34135106382978725,3.107
E10440,0.05728723404255319,2.929
E10824,0.44312765957446815,1.037
E10893,0.18737894736842103,0.774
E11090,0.32179787234042556,
E1110,1.02265625,3.719
E11301,0.14729787234042555,1.897
E11321,0.04838947368421053,
E11350,1.0434588235294118,
E1140,0.2884791666666667,2.978
E1141,0.2884791666666667,
E1147,0.07422916666666667,0.584
E1162,0.88921875,2.904
E1163,0.03528125,0.359
E11690,0.3175208333333333,
E11723,0.08696875,
E1187,0.07001041666666667,1.604
E1191,0.7125416666666666,2.959
E12020,0.16494736842105262,
E1203,1.2386458333333332,3.286
E12401,0.10104166666666665,0.915
E12412,1.640536842105263,2.194
E12430,0.33640000000000003,0.652
E12442,0.44934375,0.993
E12450,0.5733229166666666,1.275
E12470,0.3933645833333333,1.148
E12483,0.7364117647058823,1.728
E12520,0.12514583333333332,1.118
E1253,0.49826041666666665,1.43
E12551,0.22364583333333332,0.715
E12781,0.22028124999999998,0.74
E12791,0.36640625,
E12801,0.37469791666666663,0.732
E12810,0.08949473684210525,
E1299,0.23322916666666668,1.669
E1310,0.0940625,3.08
E13271,0.331936170212766,1.148
E13281,-0.00503125,0.582
E13291,0.11955789473684211,
E13301,0.24484210526315786,
E13363,1.090421052631579,
E13404,0.5655157894736842,
E13480,0.5675212765957446,
E13533,0.5505833333333333,
E1363,0.9806629213483146,1.19
E13810,0.3554,0.614
E13823,0.7010631578947368,
E13840,0.3746842105263158,
E13851,0.6111489361702128,
E13951,0.32348958333333333,
E13961,0.084,
E140,0.3341290322580645,3.577
E1406,0.90209375,1.217
E14250,0.039177083333333335,
E14261,0.12469791666666667,
E14270,0.32790526315789476,2.131
E1435,0.35178125,0.611
E14530,0.027406249999999997,1.014
E14670,0.1742258064516129,1.949
E14722,0.2799375,
E14741,0.47464583333333327,
E14811,0.13780208333333335,
E14821,0.14405208333333333,
E1502,0.1309375,1.066
E15060,0.2971157894736842,
E1521,-0.15434375,1.05
E15230,0.05571578947368421,
E15240,0.25670967741935485,1.102
E15250,0.13993684210526317,0.637
E15260,0.27269473684210527,1.32
E15280,0.30066666666666664,2.326
E1530,0.16679166666666667,3.182
E1533,0.19048958333333332,0.85
E15350,0.21318478260869564,1.348
E1541,0.221,3.378
